Star,M(V),log(L/Lsun),Temp,Type
Sun,4.8,0,5840,G2
*Alpha Centauri A,4.3,0.18,5840,G2
Barnard's Star,13.2,-3.39,2800,M4
HD 93735,10.5,-2.3,3200,M2
*UV Ceti (B),16,-4.48,2670,M6
*Sirius B,11.2,-2.58,14800,DA
Ross 248,14.8,-4.01,2670,M5
Ross 128,13.5,-3.49,2800,M4
*GX Andromedae,10.4,-2.26,3340,M1
Epsilon Indi,7,-0.9,4130,K3
*61 Cygni B,8.4,-1.45,3870,K5
*Struve 2398 B,11.9,-2.88,2940,M4
*Procyon A,2.6,0.88,6600,F5
Lacaille 9352,9.6,-1.93,3340,M1
YZ Ceti,14.1,-3.75,2670,M5
Lacaille 8760,8.7,-1.6,3340,K5.5
*Kruger 60 A,11.9,-2.85,2940,M3.5
BD -124523,12.1,-2.93,2940,M3.5
Wolf 424 A,15,-4.09,2670,M5
TZ Arietis,14,-3.7,2800,M4
Altair,2.2,1,8060,A7
*40 Eridani A,6,-0.5,4900,K1
*40 Eridani C,12.8,-3.2,2940,M3.5
*70 Ophiuchi B,7.5,-1.12,3870,K5
*Proxima Centauri,15.5,-4.29,2670,M5.5
*Alpha Centuari B,5.8,-0.42,4900,K1
Wolf 359 (CN Leo),16.7,-4.76,2670,M6
*L726-8 ( A),15.5,-4.28,2670,M6
*Sirius A,1.4,1.34,9620,A1
Ross 154,13.1,-3.36,2800,M4
Epsilon Eridani,6.1,-0.56,4590,K2
L 789-6,14.5,-3.9,2670,M6
*GQ Andromedae,13.4,-3.45,2670,M4
*61 Cygni A,7.6,-1.12,4130,K3
*Struve 2398 A,11.2,-2.56,3070,M3
Tau Ceti,5.7,-0.39,5150,G8
*Procyon B,13,-3.3,9700,DF
G51-I5,17,-4.91,2500,M7
BD +051668,11.9,-2.88,2800,M4
Kapteyn's Star,10.9,-2.45,3480,M0
*Kruger 60 B,13.3,-3.42,2670,M5
Ross 614 A,13.1,-3.35,2800,M4
van Maanen's Star,14.2,-3.78,13000,DB
HD 225213,10.3,-2.23,3200,M22
AD Leonis,11,-2.5,2940,M3.5
*40 Eridani B,11.1,-2.54,10000,DA
*70 Ophiuchi A,5.8,-0.4,4950,K0
EV Lacertae,11.7,-2.78,2800,M4
