"Z","Symbol ","Name ","A","N","Period","IUPAC_Group","Old_IUPAC","CAS_Group","Category","Standard_Atomic_Weight","Last _Digit_+-","Ionisation_eV","Normal_State","Density_Kg_m3_20°C","Melting_point_°C ","Melting_point_K","Boiling_point_°C ","Boiling_point_K","Year_of_discovery ","Discoverer"
1,"H ","Hydrogen ",1,0,1,1,"IA","IA","Alkali Metals","1.01",7,13.59840,"Gases",0.08,-259.1,14.05,-252.9,20.25,1766,"Cavendish"
2,"He ","Helium ",4,2,1,18,0,"VIIIA","Noble Gases","4",2,24.58740,"Gases",0.17,-272.2,0.95,-268.9,4.25,1895,"Ramsay and Cleve"
3,"Li ","Lithium ",7,4,2,1,"IA","IA","Alkali Metals","6.94",2,5.39170,"Solids",530,180.5,453.65,1317,1590.15,1817,"Arfvedson"
4,"Be ","Beryllium ",9,5,2,2,"IIA","IIA","Alkaline Earth Metals","9.01",3,9.32270,"Solids",1850,1278,1551.15,2970,3243.15,1797,"Vauquelin"
5,"B ","Boron ",11,6,2,13,"IIIB","IIIA","Boron Group","10.81",7,8.29800,"Solids",2460,2300,2573.15,2550,2823.15,1808,"Davy and Gay-Lussac"
6,"C ","Carbon ",12,6,2,14,"IVB","IVA","Carbon Group","12.01",8,11.26030,"Solids",3510,3550,3823.15,4827,5100.15,"prehistoric ","unknown"
7,"N ","Nitrogen ",14,7,2,15,"VB","VA","Pnictogens","14.01",2,14.54310,"Gases",1.17,-209.9,63.25,-195.8,77.35,1772,"Rutherford"
8,"O ","Oxygen ",16,8,2,16,"VIB","VIA","Chalcogen","16",3,13.61810,"Gases",1.33,-218.4,54.75,-182.9,90.25,1774,"Priestley and Scheele"
9,"F ","Fluorine ",19,10,2,17,"VIIB","VIIA","Halogen","19",5,17.42280,"Gases",1.58,-219.6,53.55,-188.1,85.05,1886,"Moissan"
10,"Ne ","Neon ",20,10,2,18,0,"VIIIA","Noble Gases","20.18",6,21.56450,"Gases",0.84,-248.7,24.45,-246.1,27.05,1898,"Ramsay and Travers"
11,"Na ","Sodium ",23,12,3,1,"IA","IA","Alkali Metals","22.989776928",2,5.13910,"Solids",970,97.8,370.95,892,1165.15,1807,"Davy"
12,"Mg ","Magnesium ",24,12,3,2,"IIA","IIA","Alkaline Earth Metals","24.3050",6,7.64620,"Solids",1740,648.8,921.95,1107,1380.15,1755,"Black"
13,"Al ","Aluminium ",27,14,3,13,"IIIB","IIIA","Boron Group","26.9815386",8,5.98580,"Solids",2700,660.5,933.65,2467,2740.15,1825,"Oersted"
14,"Si ","Silicon ",28,14,3,14,"IVB","IVA","Carbon Group","28.09",3,8.15170,"Solids",2330,1410,1683.15,2355,2628.15,1824,"Berzelius"
15,"P ","Phosphorus ",31,16,3,15,"VB","VA","Pnictogens","30.973762",2,10.48670,"Solids",1820,44,317.15,280,553.15,1669,"Brandt"
16,"S ","Sulphur ",32,16,3,16,"VIB","VIA","Chalcogen","32.07",5,10.36000,"Solids",2060,113,386.15,444.7,717.85,"prehistoric ","unknown"
17,"Cl ","Chlorine ",35,18,3,17,"VIIB","VIIA","Halogen","35.45",2,12.96760,"Gases",2.95,-34.6,238.55,-101,172.15,1774,"Scheele"
18,"Ar ","Argon ",40,22,3,18,0,"VIIIA","Noble Gases","39.95",1,15.75960,"Gases",1.66,-189.4,83.75,-185.9,87.25,1894,"Ramsay and Rayleigh"
19,"K ","Potassium ",39,20,4,1,"IA","IA","Alkali Metals","39.1",1,4.34070,"Solids",860,63.7,336.85,774,1047.15,1807,"Davy"
20,"Ca ","Calcium ",40,20,4,2,"IIA","IIA","Alkaline Earth Metals","40.08",4,6.11320,"Solids",1540,839,1112.15,1487,1760.15,1808,"Davy"
21,"Sc ","Scandium ",45,24,4,3,"IIIA","IIIB","Transition Metals","44.955912",6,6.56150,"Solids",2990,1539,1812.15,2832,3105.15,1879,"Nilson"
22,"Ti ","Titanium ",48,26,4,4,"IVA","IVB","Transition Metals","47.87",1,6.82810,"Solids",4510,1660,1933.15,3260,3533.15,1791,"Gregor and Klaproth"
23,"V ","Vanadium ",51,28,4,5,"VA","VB","Transition Metals","50.94",1,6.74620,"Solids",6090,1890,2163.15,3380,3653.15,1801,"del Rio"
24,"Cr ","Chromium ",52,28,4,6,"VIA","VIB","Transition Metals","52",6,6.76650,"Solids",7140,1857,2130.15,2482,2755.15,1797,"Vauquelin"
25,"Mn ","Manganese ",55,30,4,7,"VIIA","VIIB","Transition Metals","54.938045",5,7.43400,"Solids",7440,1244,1517.15,2097,2370.15,1774,"Gahn"
26,"Fe ","Iron ",56,30,4,8,"VIII","VIII","Transition Metals","55.85",2,7.90240,"Solids",7870,1535,1808.15,2750,3023.15,"prehistoric ","unknown"
27,"Co ","Cobalt ",59,32,4,9,"VIII","VIII","Transition Metals","58.933195",5,7.88100,"Solids",8890,1495,1768.15,2870,3143.15,1735,"Brandt"
28,"Ni ","Nickel ",59,31,4,10,"VIII","VIII","Transition Metals","58.69",4,7.63980,"Solids",8910,1453,1726.15,2732,3005.15,1751,"Cronstedt"
29,"Cu ","Copper ",64,35,4,11,"IB","IB","Transition Metals","63.55",3,7.72640,"Solids",8920,1083.5,1356.65,2595,2868.15,"prehistoric ","unknown"
30,"Zn ","Zinc ",65,35,4,12,"IIB","IIB","Transition Metals","65.38",2,9.39420,"Solids",7140,419.6,692.75,907,1180.15,"prehistoric ","unknown"
31,"Ga ","Gallium ",70,39,4,13,"IIIB","IIIA","Boron Group","69.72",1,5.99930,"Solids",5910,29.8,302.95,2403,2676.15,1875,"Lecoq de Boiskaudran"
32,"Ge ","Germanium ",73,41,4,14,"IVB","IVA","Carbon Group","72.64",1,7.89940,"Solids",5320,937.4,1210.55,2830,3103.15,1886,"Winkler"
33,"As ","Arsenic ",75,42,4,15,"VB","VA","Pnictogens","74.92160",2,9.78860,"Solids",5720,613,886.15,613,886.15,"ca. 1250 ","Albertus Magnus"
34,"Se ","Selenium ",79,45,4,16,"VIB","VIA","Chalcogen","78.96",3,9.75240,"Solids",4820,217,490.15,685,958.15,1817,"Berzelius"
35,"Br ","Bromine",80,45,4,17,"VIIB","VIIA","Halogen","79.9",1,11.81380,"Liquids",3140,-7.3,265.85,58.8,331.95,1826,"Balard"
36,"Kr ","Krypton ",84,48,4,18,0,"VIIIA","Noble Gases","83.8",2,13.99960,"Gases",3.48,-156.6,116.55,-152.3,120.85,1898,"Ramsay and Travers"
37,"Rb ","Rubidium ",85,48,5,1,"IA","IA","Alkali Metals","85.47",3,4.17710,"Solids",1530,39,312.15,688,961.15,1861,"Bunsen and Kirchhoff"
38,"Sr ","Strontium ",88,50,5,2,"IIA","IIA","Alkaline Earth Metals","87.62",1,5.69490,"Solids",2630,769,1042.15,1384,1657.15,1790,"Crawford"
39,"Y ","Yttrium ",89,50,5,3,"IIIA","IIIB","Transition Metals","88.91",2,6.21730,"Solids",4470,1523,1796.15,3337,3610.15,1794,"Gadolin"
40,"Zr ","Zirconium ",91,51,5,4,"IVA","IVB","Transition Metals","91.22",2,6.63390,"Solids",6510,1852,2125.15,4377,4650.15,1789,"Klaproth"
41,"Nb ","Niobium ",93,52,5,5,"VA","VB","Transition Metals","92.91",2,6.75890,"Solids",8580,2468,2741.15,4927,5200.15,1801,"Hatchet"
