YearMonth,YearAndFraction,SSN_OBS_SWO,SSN_OBS_RI,Ratio_RI_SW,SM_SWO,SM_RI,RF_OBS_10.7cm,RF_SM_10.7cm,GEO_OBS_Ap,GEO_SM_Ap,GSY_AvMnthT_C
174901,1749.049,,58.0,,,-1.0,,,,,
174902,1749.128,,62.6,,,-1.0,,,,,
174903,1749.210,,70.0,,,-1.0,,,,,
174904,1749.292,,55.7,,,-1.0,,,,,
174905,1749.377,,85.0,,,-1.0,,,,,
174906,1749.459,,83.5,,,-1.0,,,,,
174907,1749.544,,94.8,,,81.6,,,,,
174908,1749.629,,66.3,,,82.8,,,,,
174909,1749.711,,75.9,,,84.1,,,,,
174910,1749.796,,75.5,,,86.3,,,,,
174911,1749.878,,158.6,,,87.8,,,,,
174912,1749.963,,85.2,,,88.7,,,,,
175001,1750.048,,73.3,,,89.0,,,,,
175002,1750.127,,75.9,,,90.2,,,,,
175003,1750.209,,89.2,,,92.3,,,,,
175004,1750.292,,88.3,,,92.6,,,,,
175005,1750.376,,90.0,,,88.2,,,,,
175006,1750.459,,100.0,,,83.8,,,,,
175007,1750.543,,85.4,,,83.3,,,,,
175008,1750.628,,103.0,,,81.8,,,,,
175009,1750.710,,91.2,,,78.6,,,,,
175010,1750.795,,65.7,,,75.4,,,,,
175011,1750.877,,63.3,,,72.9,,,,,
175012,1750.962,,75.4,,,69.6,,,,,
175101,1751.047,,70.0,,,66.8,,,,,
175102,1751.127,,43.5,,,64.2,,,,,
175103,1751.209,,45.3,,,59.5,,,,,
175104,1751.291,,56.4,,,54.9,,,,,
175105,1751.376,,60.7,,,51.7,,,,,
175106,1751.458,,50.7,,,49.0,,,,,
175107,1751.543,,66.3,,,46.2,,,,,
175108,1751.628,,59.8,,,45.0,,,,,
175109,1751.710,,23.5,,,46.4,,,,,
175110,1751.795,,23.2,,,47.5,,,,,
175111,1751.877,,28.5,,,47.6,,,,,
175112,1751.962,,44.0,,,47.1,,,,,
175201,1752.047,,35.0,,,47.2,,,,,
175202,1752.129,,50.0,,,46.4,,,,,
175203,1752.211,,71.0,,,45.3,,,,,
175204,1752.293,,59.3,,,46.4,,,,,
