:Predicted_Sunspot_Numbers_and_Radio_Flux: Predict.txt
:Created: 2018 Nov 05 0400 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center (SWPC).
# Please send comments and suggestions to swpc.webmaster@noaa.gov
#
# Sunspot Number: S.I.D.C. Brussels International Sunspot Number.
# 10.7cm Radio Flux value: Penticton, B.C. Canada.
# Predicted values are based on the consensus of the Solar Cycle 24 Prediction Panel.
#
# See the README3 file for further information.
#
# Missing or not applicable data:  -1
#
#         Predicted Sunspot Number And Radio Flux Values
#                     With Expected Ranges
#
#         -----Sunspot Number------  ----10.7 cm Radio Flux----
# YR MO   PREDICTED    HIGH    LOW   PREDICTED    HIGH    LOW
#--------------------------------------------------------------
2018 05         4.8     5.8     3.8       70.2    71.2    69.2
2018 06         5.3     7.3     3.3       69.8    70.8    68.8
2018 07         5.6     8.6     2.6       69.5    71.5    67.5
2018 08         5.9    10.9     0.9       69.2    72.2    66.2
2018 09         6.3    11.3     1.3       68.8    72.8    64.8
2018 10         6.6    12.6     0.6       68.5    72.5    64.5
2018 11         6.7    13.7     0.0       68.1    73.1    63.1
2018 12         6.5    13.5     0.0       67.5    73.5    61.5
2019 01         6.6    14.6     0.0       66.9    73.9    60.0
2019 02         6.8    15.8     0.0       66.5    74.5    60.0
2019 03         6.9    15.9     0.0       66.1    74.1    60.0
2019 04         7.1    17.1     0.0       65.6    74.6    60.0
2019 05         7.0    17.0     0.0       65.1    74.1    60.0
2019 06         6.4    16.4     0.0       64.5    73.5    60.0
2019 07         5.9    15.9     0.0       64.1    73.1    60.0
2019 08         5.5    15.5     0.0       63.8    72.8    60.0
2019 09         5.1    15.1     0.0       63.4    72.4    60.0
2019 10         4.8    14.8     0.0       63.1    72.1    60.0
2019 11         4.4    14.4     0.0       62.8    71.8    60.0
2019 12         4.1    14.1     0.0       62.5    71.5    60.0
