"Wavelength in A","Spectral Id.","Found in","Series","Comments"
1215.670,"La","Stars",,
1238.810,"N V","Stars",,
1242.800,"N V","Stars",,
1393.760,"Si IV","Stars",,
1402.770,"Si IV","Stars",,
1548.200,"C IV","Stars",,
1550.770,"C IV","Stars",,
1640.500,"He II","Stars",,
1854.720,"Al III","Stars",,
1909.000,"C III]","Stars",,
2795.500,"Mg II","Stars",,
2802.700,"Mg II","Stars",,
2851.600,"Mg I","Stars",,
2881.100,"Si I","Stars",,
3425.800,"[Ne V]","Stars",,
3426.000,"[Ne V]","Planetary nebulae",,
3444.000,"OIII","Planetary nebulae",,
3581.210,"Fe I","Stars",,
3679.000,"H21","Stars",,
3721.940,"H14","Stars",,
3726.000,"[O II]","Stars",,
3727.000,"[O II]","Planetary nebulae",,
3728.800,"[O II]","Stars",,
3729.000,"[O II]","Planetary nebulae",,
3734.370,"H13","Stars",,
3734.870,"Fe I","Stars",,
3750.150,"H12","Stars",,
3760.000,"O III","Planetary nebulae",,
3770.630,"H11","Stars",,
3797.000,"H10","Planetary nebulae",,
3797.900,"H10","Stars",,
3820.440,"Fe I","Stars",,
3835.000,"H9","Planetary nebulae",,
3835.390,"H9","Stars",,
3868.000,"[Ne III]","Planetary nebulae",,
3868.700,"[Ne III]","Stars",,
3889.000,"H8","Planetary nebulae",,
3889.050,"H8","Stars",,
3923.000,"He II","Planetary nebulae",,
3933.680,"Ca II - K line","Stars",,
3967.500,"[Ne III]","Stars",,
3968.490,"Ca  II - H line","Stars",,
3970.000,"He","Planetary nebulae",,
3970.080,"He - (H7)","Stars",,
4026.000,"He I","Planetary nebulae",,
4045.820,"Fe I","Stars",,
4068.000,"[S II]","Planetary nebulae",,
4068.600,"[S II]","Stars",,
4076.200,"[S II]","Stars",,
4097.000,"N III","Planetary nebulae",,
4101.748,"Hd","Planetary nebulae",,
4101.750,"Hd - (H6)","Stars",,
4143.000,"He I","Planetary nebulae",,
4163.000,"[K V]","Planetary nebulae",,
4199.000,"He II","Planetary nebulae",,
4226.740,"Ca I","Stars",,
4227.000,"[Fe V]","Planetary nebulae",,
4267.000,"C II","Planetary nebulae",,
4300.000,"CH - G band (atmo.)","Stars",,
4340.475,"Hg","Planetary nebulae",,
4340.480,"Hg - (H5)","Stars",,
4358.300,"Hg","Stars",,
4363.000,"[O III]","Planetary nebulae",,
4363.200,"O[III]","Stars",,
4383.560,"Fe I","Stars",,
4388.000,"He I","Stars",,
4471.000,"He I","Planetary nebulae",,
4471.600,"He I","Stars",,
4541.000,"He II","Planetary nebulae",,
4541.600,"He II","Stars",,
4607.000,"[Fe [III+ III]]","Planetary nebulae",,
4640.000,"N III","Planetary nebulae",,
4685.700,"He II","Stars",,
4686.000,"He II","Planetary nebulae",,
4712.000,"He I + [Ar IV]","Planetary nebulae",,
4713.300,"He I","Stars",,
4740.000,"[Ar IV]","Planetary nebulae",,
4861.340,"Hb - (H4)","Stars",,
4861.342,"Hb","Planetary nebulae","Balmer",
4891.500,"Fe I","Stars",,
4920.510,"Fe I","Stars",,
4922.000,"He I","Stars",,
4957.610,"Fe I","Stars",,
4958.900,"[O III]","Stars",,
4959.000,"[O III]","Planetary nebulae",,
5006.800,"[O III]","Stars",,
5007.000,"[O III]","Planetary nebulae",,
5015.000,"He I","Stars",,
5048.000,"He I","Stars",,
5167.327,"Mg I - b4","Stars",,
5172.698,"Mg I - b2","Stars",,
5183.619,"Mg I - b1","Stars",,
5198.500,"[N I]","Stars",,
5200.700,"[N I]","Stars",,
5250.220,"Fe I","Stars",,
5269.550,"Fe I","Stars",,
5328.050,"Fe I","Stars",,
5411.000,"He II","Planetary nebulae",,
5411.500,"He II","Stars",,
5460.700,"Hg","Stars",,
5517.000,"[CI III]","Planetary nebulae",,
5528.420,"Mg I","Stars",,
5537.000,"[CI III]","Planetary nebulae",,
5577.500,"[O I]","Stars",,
5755.000,"[N II]","Planetary nebulae",,
5769.600,"Hg","Stars",,
5790.700,"Hg","Stars",,
5875.650,"He I","Stars",,
5876.000,"He I","Planetary nebulae",,
5889.973,"Na I - D2","Stars",,
5895.940,"Na I - D1","Stars",,
6101.000,"[K IV]","Planetary nebulae",,
6102.730,"Ca I","Stars",,
6122.230,"Ca I","Stars",,
6162.180,"Ca I","Stars",,
6300.000,"[O I]","Planetary nebulae",,
6300.300,"[O I]","Stars",,
6302.500,"Fe I","Stars",,
6319.000,"[S III]","Planetary nebulae",,
6363.800,"[O I]","Stars",,
6388.000,"O2 - C band (atmo.)","Stars",,
6393.000,"[Mn V]","Planetary nebulae",,
6406.000,"[He II]","Planetary nebulae",,
6435.000,"[Ar V]","Planetary nebulae",,
6548.000,"[N II]","Planetary nebulae",,
6548.100,"[N II]","Stars",,
6562.808,"Ha - (H3)","Stars","Balmer",
6563.000,"Ha","Planetary nebulae",,
6583.400,"[N II]","Stars",,
6584.000,"[N II]","Planetary nebulae",,
6678.000,"He I","Stars",,
6678.000,"He I","Planetary nebulae",,
6716.400,"[S II]","Stars",,
6719.000,"[S II]","Planetary nebulae",,
6730.000,"[S II]","Planetary nebulae",,
6730.800,"[S II]","Stars",,
6884.000,"O2 - B band (atmo.)","Stars",,
7065.000,"He I","Stars",,
7065.000,"He I","Planetary nebulae",,
7136.000,"Ar III","Planetary nebulae",,
7621.000,"O2 - A band (atmo.)","Stars",,
8498.062,"Ca II","Stars",,
8542.144,"Ca II","Stars",,
8662.170,"Ca II","Stars",,
10049.270,"Pd","Stars",,
10938.100,"Pg","Stars",,
